Name,MSRP,Gas Mileage,Engine
2008 Acura MDX Specs: 4WD 4-Door Sport/Entertainment Pkg,"$47,995.00",15 mpg City/20 mpg Hwy,"Gas V6, 3.7L"
2008 Acura MDX Specs: 4WD 4-Door Sport Pkg,"$45,795.00",15 mpg City/20 mpg Hwy,"Gas V6, 3.7L"
2007 Acura MDX Specs: 4WD 4-Door,"$39,995.00",17 mpg City/22 mpg Hwy,"Gas V6, 3.7L"
2007 Acura MDX Specs: 4WD 4-Door Tech/Entertainment Pkg,"$45,695.00",17 mpg City/22 mpg Hwy,"Gas V6, 3.7L"
2007 Acura MDX Specs: 4WD 4-Door Tech Pkg,"$43,495.00",17 mpg City/22 mpg Hwy,"Gas V6, 3.7L"
2007 Acura MDX Specs: 4WD 4-Door Sport/Entertainment Pkg,"$47,795.00",17 mpg City/22 mpg Hwy,"Gas V6, 3.7L"
2007 Acura MDX Specs: 4WD 4-Door Sport Pkg,"$45,595.00",17 mpg City/22 mpg Hwy,"Gas V6, 3.7L"
2006 Acura MDX Specs: 4-Door SUV AT,"$37,125.00",17 mpg City/23 mpg Hwy,"Gas V6, 3.5L"
2006 Acura MDX Specs: 4-Door SUV AT Touring w/Navi,"$42,700.00",17 mpg City/23 mpg Hwy,"Gas V6, 3.5L"
2006 Acura MDX Specs: 4-Door SUV AT Touring RES w/Navi,"$44,200.00",17 mpg City/23 mpg Hwy,"Gas V6, 3.5L"
2006 Acura MDX Specs: 4-Door SUV AT Touring RES,"$41,450.00",17 mpg City/23 mpg Hwy,"Gas V6, 3.5L"
2006 Acura MDX Specs: 4-Door SUV AT Touring,"$39,950.00",17 mpg City/23 mpg Hwy,"Gas V6, 3.5L"
2005 Acura MDX Specs: 4-Door SUV AT,"$36,900.00",17 mpg City/23 mpg Hwy,"Gas V6, 3.5L"
2005 Acura MDX Specs: 4-Door SUV AT Touring w/Navi,"$42,475.00",17 mpg City/23 mpg Hwy,"Gas V6, 3.5L"
2005 Acura MDX Specs: 4-Door SUV AT Touring,"$39,725.00",17 mpg City/23 mpg Hwy,"Gas V6, 3.5L"
2005 Acura MDX Specs: 4-Door SUV AT Touring RES w/Navi,"$43,975.00",17 mpg City/23 mpg Hwy,"Gas V6, 3.5L"
2005 Acura MDX Specs: 4-Door SUV AT Touring RES,"$41,225.00",17 mpg City/23 mpg Hwy,"Gas V6, 3.5L"
2004 Acura MDX Specs: 4-Door SUV,"$36,400.00",17 mpg City/23 mpg Hwy,"Gas V6, 3.5L"
2004 Acura MDX Specs: 4-Door SUV Touring Pkg w/Navigation,"$41,200.00",17 mpg City/23 mpg Hwy,"Gas V6, 3.5L"
2004 Acura MDX Specs: 4-Door SUV Touring Pkg RES w/Nav,"$42,700.00",17 mpg City/23 mpg Hwy,"Gas V6, 3.5L"
